Año,Lugar,Zona,Numero,turistasINE,yhat_full,median_inc,Población,distance (km)
2020,Cataluña,España,362849,33492,inf,18828.0,7763362.0,134.45114120810828
2020,Comunidade Valenciana,España,17700,2976,inf,15273.0,5058138.0,494.72701402816926
2020,Madrid,España,17135,2161,inf,19206.0,6751251.0,601.781000716905
2020,País Vasco,España,13275,655,7.891873741089921e+284,21114.0,2213993.0,400.07641443408113
2020,Aragón,España,4425,816,inf,18121.0,1326261.0,235.3099291320516
2020,Castilla y León,España,4425,260,2.2431575451828986e+113,16688.0,2383139.0,646.1195756571947
2020,Andalucía,España,4425,134,4.263389948314721e+58,12736.0,8472407.0,962.3562627414026
2020,Illes Balears,España,4425,307,5.790291477135095e+133,15765.0,1173008.0,495.6495095435792
2021,Cataluña,España,342752,33573,inf,18828.0,7763362.0,134.45114120810828
2021,Comunidade Valenciana,España,33792,2389,inf,15273.0,5058138.0,494.72701402816926
2021,Madrid,España,28965,1207,inf,19206.0,6751251.0,601.781000716905
2021,País Vasco,España,19310,607,1.124721500132769e+264,21114.0,2213993.0,400.07641443408113
2021,Aragón,España,9655,674,1.4085597842206858e+293,18121.0,1326261.0,235.3099291320516
2021,Castilla y León,España,4827,233,4.216079246208329e+101,16688.0,2383139.0,646.1195756571947
2021,Andalucía,España,14482,289,8.818602191274965e+125,12736.0,8472407.0,962.3562627414026
2021,Illes Balears,España,9655,220,9.529727902367202e+95,15765.0,1173008.0,495.6495095435792
2021,Castilla - La Mancha,España,4827,123,7.120586326889338e+53,14054.0,2049562.0,620.4587918704508
2021,Navarra,España,4827,245,6.861870983226278e+106,20955.0,661537.0,286.01252757864205
2019,Cataluña,España,332228,20291,inf,18828.0,7763362.0,134.45114120810828
2019,Comunidade Valenciana,España,26578,2185,inf,15273.0,5058138.0,494.72701402816926
2019,Madrid,España,22149,1040,inf,19206.0,6751251.0,601.781000716905
2019,País Vasco,España,17719,475,5.298749467697559e+206,21114.0,2213993.0,400.07641443408113
2019,Andalucía,España,8859,193,1.7911398206275708e+84,12736.0,8472407.0,962.3562627414026
2019,Illes Balears,España,8859,97,3.637970947608805e+42,15765.0,1173008.0,495.6495095435792
2019,Aragón,España,4430,642,1.7838234293167135e+279,18121.0,1326261.0,235.3099291320516
2019,Castilla - La Mancha,España,4430,104,3.989519570547216e+45,14054.0,2049562.0,620.4587918704508
2019,Castilla y León,España,4430,64,1.6948892444103338e+28,16688.0,2383139.0,646.1195756571947
2020,Francia,Europa,12993,762,inf,16095.866314863675,67059887.0,342.3493536639868
2020,Alemania,Europa,2542,33,583461742527454.9,17874.23043095866,83132799.0,1764.5762257586712
2020,Países Bajos,Europa,1977,163,1.6760811125908828e+71,18891.82058047493,17332850.0,1685.4568453881625
2020,Andorra,Europa,2260,41,1.739274941520501e+18,,77142.0,73.31659181049382
2020,Reino Unido,Europa,1130,68,9.253781725587787e+29,14869.832893579594,66834405.0,2035.8535611928376
2021,Francia,Europa,15278,687,6.231657119844268e+298,16095.866314863675,67059887.0,342.3493536639868
2021,Países Bajos,Europa,6684,265,3.329140976453747e+115,18891.82058047493,17332850.0,1685.4568453881625
2021,Alemania,Europa,3820,107,8.013164264000591e+46,17874.23043095866,83132799.0,1764.5762257586712
2021,Bélgica,Europa,2865,102,5.399227610580169e+44,17027.26473175022,11484055.0,1375.837472948556
2021,Reino Unido,Europa,955,86,6.076030225056872e+37,14869.832893579594,66834405.0,2035.8535611928376
2021,Italia,Europa,955,34,1586013452313430.8,13428.320140721196,60297396.0,1236.1864990768845
2021,Andorra,Europa,955,32,214643579785916.06,,77142.0,73.31659181049382
2019,Francia,Europa,24728,776,inf,16095.866314863675,67059887.0,342.3493536639868
2019,Países Bajos,Europa,44297,406,5.726036797524517e+176,18891.82058047493,17332850.0,1685.4568453881625
2019,Alemania,Europa,9420,367,6.612555656075053e+159,17874.23043095866,83132799.0,1764.5762257586712
2019,Reino Unido,Europa,4710,213,8.689987010810322e+92,14869.832893579594,66834405.0,2035.8535611928376
2019,Bélgica,Europa,11775,107,8.013164264000591e+46,17027.26473175022,11484055.0,1375.837472948556
2019,Italia,Europa,2355,52,1.0413759433029089e+23,13428.320140721196,60297396.0,1236.1864990768845
